shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
68902005,44.955688,-93.099204,210014,15841.406
68902005,44.955429,-93.098965,210015,15875.817
68902005,44.955093,-93.098666,210016,15919.986
68902005,44.954683,-93.098204,210017,15978.339
68902005,44.954408,-93.097917,210018,16016.376
68902005,44.954033,-93.097481,210019,16070.417
68902005,44.953823,-93.097237,220002,16100.672
68902005,44.953697,-93.097095,220003,16118.606
68902005,44.953242,-93.096574,220004,16183.775
68902005,44.953164,-93.096528,220005,16193.173
68902005,44.953086,-93.096515,220006,16201.901
68902005,44.953004,-93.096520,220007,16211.023
68902005,44.952924,-93.096573,220008,16220.848
68902005,44.952869,-93.096643,220009,16229.086
68902005,44.952438,-93.097492,220010,16311.443
68902005,44.951977,-93.098413,220011,16400.363
68902005,44.951920,-93.098530,220012,16411.560
68902005,44.951868,-93.098607,220013,16419.945
68902005,44.951799,-93.098649,220014,16428.299
68902005,44.951718,-93.098644,220015,16437.309
68902005,44.951653,-93.098608,220016,16445.071
68902005,44.951608,-93.098576,220017,16450.673
68902005,44.951509,-93.098469,220018,16464.542
68902005,44.951336,-93.098287,220019,16488.540
68902005,44.951209,-93.098157,220020,16505.988
68902005,44.950975,-93.097925,220021,16537.791
68902005,44.950907,-93.097906,220022,16545.495
68902005,44.950626,-93.097584,220023,16585.755
68902005,44.950254,-93.097160,230002,16638.940
68902005,44.950183,-93.097036,230003,16651.510
68902005,44.950156,-93.096985,230004,16656.530
68902005,44.949649,-93.096473,230005,16725.864
68902005,44.948982,-93.095805,230006,16816.822
68902005,44.948627,-93.095451,230007,16865.163
68902005,44.947111,-93.093956,230008,17070.841
68902005,44.946311,-93.093226,230009,17176.780
68902005,44.946264,-93.093202,230010,17182.336
68902005,44.946146,-93.092301,230011,17254.643
68902005,44.946012,-93.091282,240002,17336.430
68902005,44.946032,-93.091183,240003,17344.553
68902005,44.946589,-93.090019,240004,17455.325
68902005,44.947252,-93.088719,240005,17581.637
68902005,44.947524,-93.088152,240006,17635.637
68902005,44.947911,-93.087345,250002,17712.485
68902005,44.948209,-93.086735,250003,17770.916
